neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
Woenselse Heide,Eindhoven,5.4755291,51.4794439,6,875
Blixembosch-Oost,Eindhoven,5.4711208,51.490189,5,1325
Vaartbroek,Eindhoven,5.4976308,51.4757749,7,860
Grasrijk,Eindhoven,5.4092813,51.4403803,5,1485
Het Hooghuis,Etten-Leur,4.6637777,51.5777721,5,815
Raamsdonksveer,Geertruidenberg,4.8743833,51.693251,7,1010
Hooipolder en De Hoeven,Geertruidenberg,4.8748407,51.7051197,5,1020
Rijen,Gilze en Rijen,4.9313034,51.5747499,6,2610
Gilze,Gilze en Rijen,4.9413872,51.5442814,6,975
Rijpelberg-West,Helmond,5.6960332,51.4873818,5,865
Binnenstad-Centrum,'s-Hertogenbosch,5.3003778,51.6880132,5,370
De Kruiskamp,'s-Hertogenbosch,5.2583334,51.6991519,7,1445
Venne-West,Heusden,5.122521,51.6800524,5,860
Venne-Oost,Heusden,5.1437093,51.6712021,6,1070
Vijfhoeven,Heusden,5.2123541,51.6893101,5,980
Hilvarenbeek,Hilvarenbeek,5.1384062,51.4856827,6,1235
Nuenen-Zuid,"Nuenen, Gerwen en Nederwetten",5.551021,51.4653555,5,1070
Nuenen-Oost,"Nuenen, Gerwen en Nederwetten",5.5649967,51.4699615,6,990
Centrum,Oosterhout,4.8633595,51.6488179,5,445
Sint Willebrord,Rucphen,4.5897498,51.5517785,7,1060
Someren,Someren,5.7027101,51.392245,6,1650
Dinteloord,Steenbergen,4.3710842,51.6354752,5,805
Hoenderbos-Velmolen,Uden,5.5891305,51.6719817,5,1110
Waalre,Waalre,5.4404849,51.3836688,5,1115
Zanddonk,Waalwijk,5.0633742,51.6773339,6,930
Hoogerheide,Woensdrecht,4.3236734,51.4242798,5,750
Zundert,Zundert,4.6681631,51.4695945,6,995
Beek,Beek,5.7956471,50.9393162,6,995
Reuver,Beesel,6.0828226,51.2862173,6,840
Kerkrade-Centrum,Kerkrade,6.0620342,50.8629487,5,395
Daalhof,Maastricht,5.6503193,50.840555,6,725
Scharn,Maastricht,5.7368362,50.848074,5,790
Amby,Maastricht,5.7373692,50.8663185,6,895
Heer,Maastricht,5.7283631,50.8380525,7,845
